State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
NC,149,510,No,No,0.0,207.3,115.0,35.24,198.4,82.0,16.86,114.1,83,5.13,8.6,4.0,2.32,1.0,False
OH,29,408,No,No,0.0,196.8,81.0,33.46,168.0,110.0,14.28,132.6,98,5.97,12.7,7.0,3.43,2.0,False
WY,131,510,No,No,0.0,110.9,74.0,18.85,115.6,90.0,9.83,190.5,114,8.57,15.8,9.0,4.27,1.0,False
NJ,153,510,No,No,0.0,122.5,145.0,20.83,273.3,103.0,23.23,197.8,71,8.9,8.0,3.0,2.16,2.0,False
ND,84,510,No,No,0.0,226.9,144.0,38.57,201.6,122.0,17.14,130.2,121,5.86,13.2,5.0,3.56,2.0,False
WI,133,510,No,No,0.0,187.0,65.0,31.79,141.4,128.0,12.02,238.2,108,10.72,10.0,8.0,2.7,2.0,False
NY,87,415,No,No,0.0,204.8,101.0,34.82,161.0,80.0,13.69,285.7,89,12.86,9.5,3.0,2.57,0.0,False
MO,72,415,No,No,0.0,165.9,114.0,28.2,235.9,97.0,20.05,210.1,120,9.45,12.0,5.0,3.24,2.0,False
MN,65,510,No,Yes,29.0,158.1,104.0,26.88,322.2,81.0,27.39,210.0,96,9.45,8.9,6.0,2.4,1.0,False
CO,74,415,No,No,0.0,225.2,93.0,38.28,215.1,120.0,18.28,241.8,95,10.88,9.1,2.0,2.46,2.0,False
MD,116,408,No,No,0.0,159.4,79.0,27.1,179.5,88.0,15.26,167.8,71,7.55,9.7,2.0,2.62,3.5,True
AR,68,510,No,No,0.0,172.7,95.0,29.36,139.1,90.0,11.82,174.3,99,7.84,11.7,1.0,3.16,2.0,False
TN,68,415,No,No,0.0,222.8,99.0,37.88,175.8,85.0,14.94,202.0,111,9.09,11.0,3.0,2.97,3.0,False
DE,54,415,Yes,No,0.0,214.1,77.0,36.4,240.5,94.0,20.44,188.9,75,8.5,10.1,3.0,2.73,1.0,False
WI,107,408,No,No,0.0,134.0,104.0,22.78,174.5,94.0,14.83,311.1,79,14.0,7.3,3.0,1.97,3.0,False
MN,173,510,No,No,0.0,291.8,143.0,49.61,214.3,134.0,18.22,151.2,119,6.8,9.9,2.0,2.67,0.0,True
MO,110,408,No,No,0.0,222.7,94.0,37.86,105.8,98.0,8.99,214.8,78,9.67,13.5,4.0,3.65,1.0,False
VA,102,510,No,No,0.0,174.5,79.0,29.67,236.8,136.0,20.13,270.4,110,12.17,8.5,5.0,2.3,0.0,False
OK,91,408,No,Yes,31.0,273.0,78.0,46.41,215.5,98.0,18.32,104.7,114,4.71,9.6,2.0,2.59,1.0,False
CT,64,415,Yes,No,0.0,225.3,134.0,38.3,108.2,87.0,9.2,139.6,132,6.28,17.3,9.0,4.67,1.0,True
TN,176,415,No,Yes,23.0,283.2,130.0,48.14,162.6,74.0,13.82,177.7,104,8.0,7.2,6.0,1.94,1.0,False
WI,84,510,No,Yes,12.0,89.7,87.0,15.25,138.6,73.0,11.78,165.8,114,7.46,10.7,2.0,2.89,1.0,False
SD,138,510,No,No,0.0,127.1,102.0,21.61,247.7,106.0,21.05,207.7,75,9.35,5.0,3.0,1.35,3.0,False
ND,101,415,No,Yes,28.0,105.9,132.0,18.0,231.7,107.0,19.69,281.3,120,12.66,10.7,5.0,2.89,1.0,False
VA,136,408,No,No,0.0,142.3,79.0,24.19,158.0,113.0,13.43,177.5,75,7.99,6.0,10.5,1.62,2.0,False
UT,111,510,No,No,0.0,191.3,80.0,32.52,138.5,94.0,11.77,246.0,107,11.07,6.4,3.0,1.73,2.0,False
MA,132,408,No,Yes,36.0,201.9,93.0,34.32,156.3,75.0,13.29,131.3,92,5.91,13.7,5.0,3.7,0.0,False
SD,128,415,No,No,0.0,247.3,91.0,42.04,182.7,60.0,15.53,143.2,112,6.44,14.7,2.0,3.97,3.0,False
AL,92,408,No,Yes,38.0,242.2,96.0,41.17,159.7,144.0,13.57,210.0,108,9.45,8.9,1.0,2.4,1.0,False
AL,197,415,Yes,No,0.0,127.3,80.0,21.64,222.3,115.0,18.9,173.9,95,7.83,13.7,5.0,3.7,3.5,True
SC,99,415,No,Yes,33.0,179.1,93.0,30.45,238.3,102.0,20.26,165.7,96,7.46,10.6,1.0,2.86,2.0,False
FL,106,415,No,Yes,31.0,197.4,125.0,33.56,123.4,110.0,10.49,115.6,101,5.2,12.3,4.0,3.32,3.0,False
UT,78,415,No,No,0.0,193.1,85.0,32.83,172.1,105.0,14.63,129.6,119,5.83,10.2,1.0,2.75,0.0,False
NY,98,408,No,No,0.0,171.7,99.0,29.19,174.8,87.0,14.86,189.6,130,8.53,7.8,6.0,2.11,1.0,False
MS,17,408,No,Yes,35.0,198.5,123.0,33.75,270.6,74.0,23.0,209.9,130,9.45,8.1,10.0,2.19,1.0,False
NH,56,415,No,Yes,24.0,121.7,87.0,20.69,184.0,76.0,15.64,266.6,98,12.0,12.7,3.0,3.43,1.0,False
VA,84,415,No,No,0.0,130.2,105.0,22.13,278.0,60.0,23.63,305.4,74,13.74,14.0,6.0,3.78,2.0,False
VT,95,510,No,No,0.0,203.4,96.0,34.58,168.6,61.0,14.33,173.0,105,7.79,13.7,3.0,3.7,2.0,False
NV,76,510,Yes,No,0.0,241.0,120.0,40.97,231.8,96.0,19.7,220.2,67,9.91,9.9,1.0,2.67,1.0,True
WV,93,415,No,No,0.0,141.7,95.0,24.09,221.0,100.0,18.79,227.1,71,10.22,10.2,3.0,2.75,0.0,False
WA,83,408,No,No,0.0,134.8,96.0,22.92,167.2,78.0,14.21,161.5,123,7.27,7.7,5.0,2.08,2.0,False
KS,123,415,No,No,0.0,163.1,119.0,27.73,249.4,51.0,21.2,168.2,77,7.57,9.0,10.0,2.43,1.0,False
VT,64,408,No,No,0.0,145.5,116.0,24.74,228.4,110.0,19.41,273.4,91,12.3,8.9,8.0,2.4,1.0,False
OK,82,510,No,No,0.0,324.65,73.0,55.18000000000001,208.3,120.0,17.71,267.1,102,12.02,10.6,6.0,2.86,0.0,True
CO,110,510,No,No,0.0,131.9,93.0,22.42,272.7,106.0,23.18,192.8,105,8.68,7.1,4.0,1.92,1.0,False
TN,47,415,No,Yes,30.0,196.6,93.0,33.42,241.4,140.0,20.52,226.0,118,10.17,12.9,4.0,3.48,2.0,False
KY,115,510,No,No,0.0,99.7,107.0,16.95,145.1,96.0,12.33,149.4,99,6.72,14.1,4.0,3.81,2.0,False
PA,69,415,No,No,0.0,143.6,88.0,24.41,141.8,86.0,12.05,194.0,83,8.73,10.8,5.0,2.92,3.0,False
CT,90,415,No,No,0.0,37.8,80.0,6.43,155.3,105.0,13.2,175.0,111,7.88,14.2,5.0,3.83,3.0,False
MN,98,415,No,No,0.0,72.8,107.0,12.38,186.4,103.0,15.84,175.3,110,7.89,10.5,4.0,2.84,3.0,False
WY,90,408,No,Yes,39.0,94.8,89.0,16.12,219.1,91.0,18.62,197.4,65,8.88,11.4,5.0,3.08,1.0,False
PA,174,415,No,Yes,15.0,221.8,143.0,37.71,210.6,115.0,17.9,221.8,109,9.98,12.4,9.0,3.35,1.0,False
PA,79,415,No,No,0.0,268.3,114.0,45.61,185.5,111.0,15.77,264.6,88,11.91,6.3,7.0,1.7,1.0,True
VT,99,415,No,No,0.0,115.5,75.0,19.64,218.1,111.0,18.54,254.9,98,11.47,11.5,7.0,3.11,3.5,True
ID,114,415,No,No,0.0,202.1,100.0,34.36,195.7,102.0,16.63,291.8,120,13.13,13.3,5.0,3.59,2.0,False
PA,141,510,No,No,0.0,215.6,113.0,36.65,200.6,81.0,17.05,153.8,107,6.92,12.4,6.0,3.35,1.0,False
NM,132,408,No,No,0.0,169.9,107.0,28.88,209.4,121.0,17.8,206.1,79,9.27,11.5,2.0,3.11,1.0,False
FL,133,510,No,No,0.0,201.7,85.0,34.29,169.4,116.0,14.4,286.3,80,12.88,6.0,4.0,1.62,0.0,False
TX,133,408,No,No,0.0,221.1,133.0,37.59,160.2,140.0,13.62,161.8,84,7.28,8.4,3.0,2.27,3.5,False
VT,93,510,No,Yes,32.0,218.7,117.0,37.18,115.0,61.0,9.78,192.7,85,8.67,9.4,5.0,2.54,2.0,False
OR,140,415,No,No,0.0,120.3,108.0,20.45,240.4,84.0,20.43,216.4,74,9.74,7.7,3.0,2.08,3.5,True
FL,144,510,No,No,0.0,278.5,95.0,47.35,240.7,90.0,20.46,120.0,90,5.4,11.6,5.0,3.13,1.0,True
ID,24,408,No,Yes,29.0,236.3,105.0,40.17,190.8,114.0,16.22,129.0,105,5.81,7.2,2.0,1.94,3.0,False
MD,54,415,No,No,0.0,273.8,113.0,46.55,119.6,154.5,10.17,267.6,117,12.04,11.7,3.0,3.16,1.0,False
WV,50,408,No,No,0.0,131.1,129.0,22.29,160.5,94.0,13.64,206.9,88,9.31,5.6,9.0,1.51,3.5,True
ID,92,415,No,Yes,23.0,167.4,83.0,28.46,258.6,129.0,21.98,116.4,110,5.24,11.2,3.0,3.02,3.5,False
NV,96,408,No,No,0.0,197.7,68.0,33.61,250.5,53.0,21.29,181.2,67,8.15,10.5,3.0,2.84,3.0,False
SC,102,408,No,No,0.0,174.5,73.0,29.67,213.7,114.0,18.16,164.7,116,7.41,10.3,5.0,2.78,3.5,False
NE,99,415,No,No,0.0,200.0,66.0,34.0,107.9,104.0,9.17,233.7,82,10.52,11.4,2.0,3.08,3.0,False
ME,36,510,No,Yes,25.0,152.8,110.0,25.98,242.8,67.0,20.64,147.4,74,6.63,9.1,2.0,2.46,1.0,False
MI,70,510,No,No,0.0,129.9,102.0,22.08,208.7,133.0,17.74,231.4,93,10.41,14.3,3.0,3.86,1.0,False
AZ,109,415,Yes,No,0.0,268.4,85.0,45.63,150.6,131.0,12.8,297.9,84,13.41,9.7,8.0,2.62,2.0,True
AZ,100,415,No,No,0.0,188.5,152.0,32.05,148.3,115.0,12.61,179.8,88,8.09,15.2,5.0,4.1,2.0,False
MA,80,510,No,No,0.0,149.8,123.0,25.47,276.3,75.0,23.49,241.4,75,10.86,10.9,7.0,2.94,2.0,False
SC,100,510,No,No,0.0,115.9,87.0,19.7,111.3,56.0,9.46,170.2,77,7.66,7.1,4.0,1.92,1.0,False
WV,50,510,No,No,0.0,131.7,108.0,22.39,216.5,103.0,18.4,196.1,126,8.82,11.0,5.0,2.97,1.0,False
MS,105,415,No,No,0.0,101.4,48.0,17.24,159.1,119.0,13.52,259.2,53,11.66,12.2,2.0,3.29,1.0,False
VA,113,415,No,Yes,23.0,149.0,104.0,25.33,235.8,67.0,20.04,201.8,76,9.08,9.5,5.0,2.57,3.5,False
MS,111,415,No,Yes,36.0,96.8,123.0,16.46,170.6,105.0,14.5,166.0,85,7.47,13.4,4.0,3.62,2.0,False
NM,161,408,No,No,0.0,107.5,121.0,18.28,256.4,46.5,21.79,247.2,131,11.12,12.6,3.0,3.4,2.0,False
TX,70,415,No,No,0.0,232.8,95.0,39.58,303.4,111.0,25.79,255.6,104,11.5,12.9,7.0,3.48,0.0,True
HI,97,415,No,Yes,43.0,121.1,105.0,20.59,260.2,115.0,22.12,222.4,100,10.01,8.3,5.0,2.24,3.0,False
WA,130,510,No,No,0.0,124.3,70.0,21.13,270.7,99.0,23.01,239.5,83,10.78,3.5,6.0,0.95,0.0,False
WI,92,415,No,No,0.0,157.7,101.0,26.81,298.6,100.0,25.38,216.9,99,9.76,13.8,3.0,3.73,1.0,False
CO,119,408,No,No,0.0,124.3,68.0,21.13,207.1,88.0,17.6,157.4,93,7.08,14.8,1.0,4.0,0.0,False
NV,115,415,No,No,0.0,286.4,125.0,48.69,205.7,74.0,17.48,191.4,141,8.61,6.9,6.0,1.86,1.0,True
VA,127,408,No,Yes,25.0,173.0,91.0,29.41,245.8,64.0,20.89,300.0,99,13.5,4.8,3.0,1.3,0.0,False
ND,153,415,No,Yes,31.0,218.5,130.0,37.15,134.2,103.0,11.41,118.9,105,5.35,9.4,6.0,2.54,0.0,False
HI,79,415,No,No,0.0,41.9,124.0,7.12,211.0,95.0,17.94,237.9,55,10.71,11.4,5.0,3.08,1.0,False
ND,35,415,No,No,0.0,260.8,87.0,44.34,258.1,78.0,21.94,131.3,123,5.91,5.8,2.0,1.57,1.0,False
MN,68,510,No,No,0.0,226.7,94.0,38.54,168.4,129.0,14.31,188.7,117,8.49,10.2,1.0,2.75,0.0,False
DC,60,408,No,No,0.0,179.3,147.0,30.48,208.9,89.0,17.76,248.2,98,11.17,13.5,6.0,3.65,1.0,True
MT,71,510,No,Yes,23.0,175.7,82.0,29.87,258.9,136.0,22.01,268.4,152,12.08,14.1,7.0,3.81,1.0,False
WV,124,415,No,No,0.0,157.4,107.0,26.76,167.8,112.0,14.26,188.8,102,8.5,8.8,3.0,2.38,3.0,False
ME,23,510,No,No,0.0,113.1,74.0,19.23,168.8,95.0,14.35,262.9,126,11.83,6.9,2.0,1.86,1.0,True
WY,208,415,No,No,0.0,182.7,142.0,31.06,246.5,63.0,20.95,218.0,103,9.81,8.8,2.0,2.38,1.0,False
NY,181,415,Yes,No,0.0,161.3,83.0,27.42,124.4,83.0,10.57,262.0,98,11.79,14.1,3.0,3.81,0.0,True
VT,63,415,No,No,0.0,142.5,92.0,24.23,208.3,102.0,17.71,228.9,120,10.3,7.5,2.0,2.03,2.0,False
NC,54,415,Yes,No,0.0,190.5,108.0,32.39,259.7,108.0,22.07,141.5,111,6.37,9.7,2.0,2.62,2.0,True
MO,80,408,Yes,Yes,15.0,159.3,110.0,27.08,170.6,120.0,14.5,141.2,82,6.35,11.9,5.0,3.21,1.0,False
NC,118,408,Yes,Yes,39.0,153.8,106.0,26.15,123.3,111.0,10.48,117.8,103,5.3,9.2,6.0,2.48,1.0,False
NJ,42,408,Yes,No,0.0,180.7,127.0,30.72,174.6,94.0,14.84,165.3,114,7.44,12.0,6.0,3.24,2.0,False
OH,134,408,No,No,0.0,202.7,105.0,34.46,224.9,90.0,19.12,253.9,108,11.43,12.1,7.0,3.27,0.0,False
TX,66,415,No,Yes,35.0,190.8,100.0,32.44,261.3,93.0,22.21,209.5,108,9.43,8.9,6.0,2.4,0.0,False
WA,66,415,No,No,0.0,205.1,102.0,34.87,232.7,109.0,19.78,259.9,95,11.7,9.2,6.0,2.48,2.0,False
TN,127,415,No,Yes,28.0,235.6,124.0,40.05,236.8,113.0,20.13,241.2,127,10.85,7.7,2.0,2.08,1.0,False
HI,146,510,No,No,0.0,189.3,77.0,32.18,155.9,128.0,13.25,186.0,83,8.37,7.4,3.0,2.0,0.0,False
WY,93,408,No,Yes,42.0,166.9,101.0,28.37,273.2,84.0,23.22,171.0,106,7.69,11.5,1.0,3.11,1.0,False
CT,77,415,No,No,0.0,245.2,87.0,41.68,254.1,83.0,21.6,239.4,91,10.77,7.5,4.0,2.03,0.0,True
NM,111,415,No,No,0.0,132.6,125.0,22.54,221.1,67.0,18.79,127.9,101,5.76,12.7,2.0,3.43,3.5,True
AL,115,510,No,Yes,14.0,192.3,86.0,32.69,88.7,90.0,7.54,229.4,120,10.32,10.5,3.0,2.84,2.0,False
MN,115,510,Yes,No,0.0,122.0,110.0,20.74,220.2,100.0,18.72,179.7,124,8.09,10.8,2.0,2.92,2.0,True
NC,114,408,No,No,0.0,193.0,101.0,32.81,250.0,81.0,21.25,133.3,79,6.0,9.6,2.0,2.59,2.0,False
OH,106,415,No,No,0.0,158.6,112.0,26.96,220.0,114.0,18.7,252.9,106,11.38,9.1,3.0,2.46,0.0,False
CO,59,510,No,No,0.0,153.6,92.0,26.11,205.5,88.0,17.47,114.5,89,5.15,12.5,10.0,3.38,1.0,False
ND,87,415,Yes,Yes,40.0,221.6,79.0,37.67,157.1,74.0,13.35,222.4,124,10.01,11.5,3.0,3.11,1.0,False
NY,21,415,No,No,0.0,244.7,81.0,41.6,168.0,117.0,14.28,281.5,87,12.67,6.6,1.0,1.78,1.0,False
WI,142,408,No,Yes,24.0,239.8,103.0,40.77,285.9,65.0,24.3,256.7,106,11.55,9.5,4.0,2.57,0.0,False
OR,149,415,No,No,0.0,242.5,83.0,41.23,245.4,97.0,20.86,219.6,80,9.88,10.0,3.0,2.7,3.0,True
CO,54,510,No,Yes,39.0,117.6,82.0,19.99,159.2,60.0,13.53,236.4,113,10.64,11.3,10.0,3.05,2.0,False
PA,88,510,No,No,0.0,218.2,76.0,37.09,169.3,60.0,14.39,141.1,99,6.35,8.0,1.0,2.16,1.0,False
IL,85,415,No,Yes,29.0,144.6,97.0,24.58,140.0,102.0,11.9,165.4,148,7.44,10.9,3.0,2.94,1.0,False
DE,51,415,Yes,No,0.0,153.6,108.0,26.11,232.9,85.0,19.8,214.2,92,9.64,14.1,4.0,3.81,0.0,True
MO,45,510,No,Yes,29.0,135.8,104.0,23.09,222.5,101.0,18.91,235.6,92,10.6,7.9,6.0,2.13,2.0,False
OH,146,408,No,Yes,31.0,202.5,91.0,34.43,241.4,108.0,20.52,169.6,77,7.63,7.8,2.0,2.11,1.0,False
WI,63,510,No,Yes,34.0,152.2,119.0,25.87,227.1,91.0,19.3,195.7,103,8.81,12.3,5.0,3.32,1.0,False
OH,72,510,No,No,0.0,138.9,111.0,23.61,211.6,102.0,17.99,179.5,91,8.08,10.8,3.0,2.92,1.0,False
TN,130,408,No,No,0.0,127.0,102.0,21.59,206.9,107.0,17.59,231.7,99,10.43,6.1,6.0,1.65,0.0,False
SD,97,415,No,No,0.0,168.6,87.0,28.66,259.2,105.0,22.03,279.8,123,12.59,7.3,4.0,1.97,1.0,False
NY,54,415,No,No,0.0,286.6,73.0,48.72,223.2,108.0,18.97,203.7,107,9.17,11.5,5.0,3.11,1.0,True
GA,160,415,No,Yes,29.0,164.6,121.0,27.98,262.8,108.0,22.34,123.8,131,5.57,15.2,4.0,4.1,1.0,False
TX,79,415,No,No,0.0,144.0,90.0,24.48,135.8,91.0,11.54,212.4,129,9.56,13.0,4.0,3.51,1.0,False
WV,92,415,No,Yes,47.0,141.6,95.0,24.07,207.9,130.0,17.67,203.6,95,9.16,10.2,10.5,2.75,0.0,False
MI,59,415,No,No,0.0,204.3,65.0,34.73,247.3,123.0,21.02,214.7,94,9.66,12.0,4.0,3.24,1.0,False
ND,132,510,No,No,0.0,163.2,80.0,27.74,167.6,90.0,14.25,87.5,90,3.94,6.2,10.0,1.67,1.0,False
SD,93,415,No,No,0.0,176.1,103.0,29.94,199.7,130.0,16.97,263.9,96,11.88,8.5,6.0,2.3,2.0,False
NJ,147,415,No,Yes,36.0,254.2,78.0,43.21,228.1,105.0,19.39,98.0,125,4.41,13.8,7.0,3.73,3.5,False
AK,101,510,No,No,0.0,174.9,105.0,29.73,262.0,75.0,22.27,210.0,93,9.45,8.5,5.0,2.3,1.0,False
CT,125,415,Yes,No,0.0,187.3,118.0,31.84,160.7,111.0,13.66,263.8,112,11.87,9.6,2.0,2.59,0.0,True
CO,63,415,No,No,0.0,211.8,84.0,36.01,230.9,137.0,19.63,217.1,99,9.77,10.7,9.0,2.89,3.0,False
MD,107,415,No,No,0.0,241.9,102.0,41.12,126.9,117.0,10.79,185.6,92,8.35,11.7,6.0,3.16,0.0,False
MN,117,408,No,No,0.0,161.6,104.0,27.47,196.3,119.0,16.69,294.8,111,13.27,13.8,2.0,3.73,1.0,False
KY,124,415,No,No,0.0,194.0,103.0,32.98,241.0,116.0,20.49,227.5,152,10.24,11.9,5.0,3.21,0.0,False
NH,115,510,No,No,0.0,109.7,148.0,18.65,223.8,87.0,19.02,240.3,96,10.81,15.4,8.0,4.16,3.0,False
CO,156,408,Yes,No,0.0,277.0,119.0,47.09,238.3,106.0,20.26,94.4,96,4.25,8.3,3.0,2.24,1.0,False
KY,89,408,No,No,0.0,192.1,83.0,32.66,163.6,88.0,13.91,169.7,138,7.64,6.1,3.0,1.65,0.0,False
KY,72,415,No,No,0.0,198.4,147.0,33.73,216.9,121.0,18.44,112.8,125,5.08,13.1,4.0,3.54,0.0,False
OR,53,415,No,No,0.0,184.8,98.0,31.42,216.4,125.0,18.39,141.1,116,6.35,17.5,3.0,4.7250000000000005,2.0,False
SD,116,408,No,No,0.0,167.8,119.0,28.53,142.0,123.0,12.07,190.7,128,8.58,7.3,4.0,1.97,2.0,False
DE,78,408,No,No,0.0,139.2,140.0,23.66,191.4,113.0,16.27,286.5,125,12.89,11.8,3.0,3.19,3.0,False
NE,56,510,No,No,0.0,121.6,84.0,20.67,165.3,115.0,14.05,243.9,95,10.98,8.9,2.0,2.4,1.0,False
OH,123,408,No,Yes,39.0,270.4,99.0,45.97,245.1,110.0,20.83,108.9,113,4.9,15.4,7.0,4.16,1.0,False
AR,116,415,No,Yes,23.0,253.0,78.0,43.01,138.9,121.0,11.81,277.8,104,12.5,11.8,3.0,3.19,2.0,False
WI,102,408,No,No,0.0,200.6,106.0,34.1,152.5,127.0,12.96,199.4,128,8.97,7.7,2.0,2.08,3.0,False
OR,95,415,No,No,0.0,167.6,96.0,28.49,176.0,89.0,14.96,250.9,113,11.29,13.4,6.0,3.62,2.0,False
VA,102,408,No,No,0.0,156.5,67.0,26.61,204.3,103.0,17.37,141.9,72,6.39,9.9,2.0,2.67,2.0,False
AR,89,415,No,Yes,25.0,215.1,140.0,36.57,197.4,69.0,16.78,162.1,117,7.29,10.6,10.0,2.86,1.0,False
CT,50,408,No,No,0.0,301.7,82.0,51.29,167.1,118.0,14.2,72.2,89,3.25,10.5,6.0,2.84,1.0,False
OH,93,415,No,Yes,42.0,152.3,90.0,25.89,267.5,102.0,22.74,266.9,130,12.01,11.3,5.0,3.05,3.5,False
WY,68,510,No,No,0.0,195.4,116.0,33.22,212.1,101.0,18.03,138.4,134,6.23,15.1,10.5,4.08,1.0,False
IL,70,408,No,No,0.0,208.7,97.0,35.48,275.5,83.0,23.42,182.5,122,8.21,8.0,3.0,2.16,2.0,False
MO,138,415,No,Yes,29.0,190.1,87.0,32.32,223.2,123.0,18.97,256.2,130,11.53,14.2,6.0,3.83,0.0,False
MA,112,415,No,Yes,17.0,183.2,95.0,31.14,252.8,125.0,21.49,156.7,95,7.05,9.7,3.0,2.62,0.0,False
NH,117,510,Yes,No,0.0,54.2,100.0,9.21,303.2,84.0,25.77,171.8,84,7.73,8.6,2.0,2.32,1.0,True
IA,1,408,No,Yes,26.0,208.0,115.0,35.36,185.0,113.0,15.73,177.7,144,8.0,8.1,9.0,2.19,1.0,False
AL,70,415,No,No,0.0,230.3,110.0,39.15,77.9,87.0,6.62,247.1,105,11.12,13.2,4.0,3.56,1.0,False
WV,52,510,No,Yes,21.0,195.7,119.0,33.27,106.2,95.0,9.03,157.4,94,7.08,5.3,3.0,1.43,2.0,False
NV,105,408,No,No,0.0,166.1,93.0,28.24,175.9,106.0,14.95,243.5,55,10.96,16.2,3.0,4.37,2.0,False
SC,77,510,No,Yes,28.0,135.9,117.0,23.1,244.5,102.0,20.78,207.5,74,9.34,11.5,3.0,3.11,3.5,True
NC,80,415,Yes,No,0.0,189.1,122.0,32.15,223.2,92.0,18.97,269.0,116,12.11,13.9,3.0,3.75,2.0,True
NH,120,510,No,Yes,43.0,177.9,117.0,30.24,175.1,70.0,14.88,161.3,117,7.26,11.5,4.0,3.11,1.0,False
WY,54,408,No,Yes,39.0,143.9,73.0,24.46,210.3,117.0,17.88,129.2,117,5.81,12.5,8.0,3.38,2.0,False
FL,148,510,Yes,No,0.0,148.2,138.0,25.19,159.6,123.0,13.57,197.4,62,8.88,8.6,3.0,2.32,2.0,False
PA,119,408,No,No,0.0,287.1,115.0,48.81,159.3,99.0,13.54,216.8,86,9.76,13.9,1.0,3.75,2.0,True
MO,85,510,No,No,0.0,165.8,96.0,28.19,190.0,141.0,16.15,144.0,116,6.48,10.9,3.0,2.94,3.5,True
KS,101,510,No,Yes,25.0,144.1,144.0,24.5,167.6,105.0,14.25,240.0,107,10.8,14.5,3.0,3.92,1.0,False
KY,172,415,No,No,0.0,172.5,85.0,29.33,253.1,71.0,21.51,221.6,113,9.97,5.9,6.0,1.59,0.0,False
DE,80,415,No,No,0.0,199.8,138.0,33.97,167.1,91.0,14.2,271.8,94,12.23,5.5,4.0,1.49,1.0,False
WI,67,510,No,No,0.0,109.1,134.0,18.55,142.3,76.0,12.1,91.2,86,4.1,10.9,5.0,2.94,2.0,False
CO,86,408,No,No,0.0,171.8,106.0,29.21,301.7,46.5,25.64,139.4,108,6.27,9.7,5.0,2.62,1.0,False
NM,107,415,No,No,0.0,222.3,101.0,37.79,286.0,111.0,24.31,249.4,117,11.22,12.1,4.0,3.27,1.0,True
DE,133,510,No,No,0.0,245.8,102.0,41.79,264.7,90.0,22.5,111.7,103,5.03,11.2,7.0,3.02,0.0,False
IL,116,510,No,No,0.0,164.6,110.0,27.98,270.6,103.0,23.0,230.4,109,10.37,8.0,3.0,2.16,0.0,False
WA,63,408,No,No,0.0,211.7,107.0,35.99,271.7,77.0,23.09,203.3,108,9.15,7.4,7.0,2.0,0.0,False
MA,119,408,Yes,Yes,16.0,147.2,103.0,25.02,160.1,96.0,13.61,184.0,120,8.28,7.7,2.0,2.08,0.0,True
OH,133,408,Yes,No,0.0,254.7,103.0,43.3,252.2,80.0,21.44,178.1,103,8.01,8.0,3.0,2.16,0.0,True
TN,94,408,Yes,No,0.0,170.1,113.0,28.92,271.8,94.0,23.1,110.7,78,4.98,8.7,4.0,2.35,1.0,False
MA,69,510,No,No,0.0,195.1,91.0,33.17,261.5,57.0,22.23,203.8,90,9.17,11.4,5.0,3.08,0.0,False
MI,146,408,No,No,0.0,149.3,83.0,25.38,187.1,130.0,15.9,149.8,100,6.74,7.9,4.0,2.13,3.5,True
NH,142,408,Yes,Yes,25.0,191.1,109.0,32.49,149.6,120.0,12.72,227.8,60,10.25,9.8,3.0,2.65,0.0,False
MD,123,408,No,No,0.0,206.9,115.0,35.17,224.4,86.0,19.07,197.4,60,8.88,8.3,2.0,2.24,3.0,False
MS,101,408,No,No,0.0,239.0,154.5,40.63,273.0,106.0,23.21,278.2,93,12.52,13.5,8.0,3.65,1.0,True
AZ,43,415,No,No,0.0,179.3,97.0,30.48,252.7,126.0,21.48,227.5,114,10.24,8.0,5.0,2.16,0.0,False
IN,69,408,No,No,0.0,185.3,91.0,31.5,219.1,88.0,18.62,243.6,107,10.96,5.5,5.0,1.49,0.0,False
NY,15,510,Yes,No,0.0,141.4,80.0,24.04,123.9,76.0,10.53,323.5,88,14.56,8.1,3.0,2.19,2.0,False
WV,67,510,No,No,0.0,152.5,131.0,25.93,252.4,107.0,21.45,185.4,104,8.34,4.9,3.0,1.32,2.0,False
NY,99,415,No,No,0.0,145.6,102.0,24.75,230.9,87.0,19.63,181.5,86,8.17,11.4,7.0,3.08,1.0,False
OK,46,415,No,No,0.0,164.2,116.0,27.91,196.2,153.0,16.68,236.1,119,10.62,8.1,1.0,2.19,1.0,False
NC,55,408,Yes,No,0.0,221.0,115.0,37.57,165.4,97.0,14.06,235.4,117,10.59,9.7,4.0,2.62,1.0,False
KY,39,415,No,No,0.0,295.4,126.0,50.22,232.1,117.0,19.73,204.4,123,9.2,11.5,2.0,3.11,1.0,True
TX,92,510,No,No,0.0,139.8,98.0,23.77,174.9,143.0,14.87,201.6,135,9.07,9.4,7.0,2.54,2.0,False
CT,56,415,No,No,0.0,162.3,99.0,27.59,149.1,78.0,12.67,255.5,115,11.5,14.8,1.0,4.0,3.5,True
NE,76,415,No,No,0.0,272.7,97.0,46.36,236.4,95.0,20.09,235.5,105,10.6,7.7,2.0,2.08,0.0,True
HI,132,408,Yes,Yes,33.0,200.3,75.0,34.05,226.6,67.0,19.26,198.8,91,8.95,12.9,3.0,3.48,2.0,False
